title,price_idr,rating,colors,sizes,gender,timestamp
T-shirt 2,1634400.0,3.9,3,M,women,2025-05-03 15:22:04.619763
Hoodie 3,7950080.0,4.8,3,L,unisex,2025-05-03 15:22:04.619763
Pants 4,7476960.0,3.3,3,XL,men,2025-05-03 15:22:04.619763
Outerwear 5,5145440.0,3.5,3,XXL,women,2025-05-03 15:22:04.619763
Jacket 6,2453920.0,3.3,3,S,unisex,2025-05-03 15:22:04.619763
Crewneck 7,6892000.0,4.3,3,M,men,2025-05-03 15:22:04.619763
T-shirt 8,7802560.0,3.1,3,L,women,2025-05-03 15:22:04.620771
Hoodie 9,3972160.0,3.2,3,XL,unisex,2025-05-03 15:22:04.620771
Pants 10,3100160.0,4.2,3,XXL,men,2025-05-03 15:22:04.620771
Jacket 12,8527840.0,3.9,3,M,unisex,2025-05-03 15:22:04.620771
Crewneck 13,5447200.0,3.2,3,L,men,2025-05-03 15:22:04.620771
T-shirt 14,3248800.0,3.8,3,XL,women,2025-05-03 15:22:04.620771
Hoodie 15,2184160.0,3.6,3,XXL,unisex,2025-05-03 15:22:04.620771
Outerwear 17,841600.0,3.8,3,M,women,2025-05-03 15:22:04.621774
Jacket 18,5500000.0,3.8,3,L,unisex,2025-05-03 15:22:04.621774
Crewneck 19,1308960.0,3.6,3,XL,men,2025-05-03 15:22:04.621774
T-shirt 20,1325600.0,3.4,3,XXL,women,2025-05-03 15:22:04.622774
Pants 22,4319680.0,4.9,3,M,men,2025-05-03 15:22:04.811514
Outerwear 23,4655840.0,3.7,3,L,women,2025-05-03 15:22:04.812514
Jacket 24,8223520.0,3.9,3,XL,unisex,2025-05-03 15:22:04.812514
Crewneck 25,8322560.0,3.3,3,XXL,men,2025-05-03 15:22:04.812514
T-shirt 26,7292320.0,4.6,3,S,women,2025-05-03 15:22:04.812514
Hoodie 27,3551840.0,4.8,3,M,unisex,2025-05-03 15:22:04.812514
Pants 28,5216160.0,4.0,3,L,men,2025-05-03 15:22:04.812514
Outerwear 29,861600.0,3.1,3,XL,women,2025-05-03 15:22:04.813513
Jacket 30,8610240.0,3.7,3,XXL,unisex,2025-05-03 15:22:04.813513
